     up,  right,   down,   left,   code, char, description
       ,       ,       ,       ,       ,     ,
       ,       ,       ,  light, U+2574,    ╴, box drawings light left
       ,       ,       ,  heavy, U+2578,    ╸, box drawings heavy left
       ,       ,       , double, U+2550,    ═, box drawings double horizontal
       ,       ,  light,       , U+2577,    ╷, box drawings light down
       ,       ,  light,  light, U+2510,    ┐, box drawings light down and left
       ,       ,  light,  heavy, U+2511,    ┑, box drawings down light and left heavy
       ,       ,  light, double, U+2555,    ╕, box drawings down single and left double
       ,       ,  heavy,       , U+257b,    ╻, box drawings heavy down
       ,       ,  heavy,  light, U+2512,    ┒, box drawings down heavy and left light
       ,       ,  heavy,  heavy, U+2513,    ┓, box drawings heavy down and left
       ,       ,  heavy, double, U+2513,    ┓, box drawings heavy down and left
       ,       , double,       , U+2551,    ║, box drawings double vertical
       ,       , double,  light, U+2556,    ╖, box drawings down double and left single
       ,       , double,  heavy, U+2513,    ┓, box drawings heavy down and left
       ,       , double, double, U+2557,    ╗, box drawings double down and left
       ,  light,       ,       , U+2576,    ╶, box drawings light right
       ,  light,       ,  light, U+2500,    ─, box drawings light horizontal
       ,  light,       ,  heavy, U+257e,    ╾, box drawings heavy left and light right
       ,  light,       , double, U+2500,    ─, box drawings light horizontal
       ,  light,  light,       , U+250c,    ┌, box drawings light down and right
       ,  light,  light,  light, U+252c,    ┬, box drawings light down and horizontal
       ,  light,  light,  heavy, U+252d,    ┭, box drawings left heavy and right down light
       ,  light,  light, double, U+252c,    ┬, box drawings light down and horizontal
       ,  light,  heavy,       , U+250e,    ┎, box drawings down heavy and right light
       ,  light,  heavy,  light, U+2530,    ┰, box drawings down heavy and horizontal light
       ,  light,  heavy,  heavy, U+2531,    ┱, box drawings right light and left down heavy
       ,  light,  heavy, double, U+252c,    ┬, box drawings light down and horizontal
       ,  light, double,       , U+2553,    ╓, box drawings down double and right single
       ,  light, double,  light, U+2565,    ╥, box drawings down double and horizontal single
       ,  light, double,  heavy, U+252c,    ┬, box drawings light down and horizontal
       ,  light, double, double, U+2566,    ╦, box drawings double down and horizontal
       ,  heavy,       ,       , U+257a,    ╺, box drawings heavy right
       ,  heavy,       ,  light, U+257c,    ╼, box drawings light left and heavy right
       ,  heavy,       ,  heavy, U+2501,    ━, box drawings heavy horizontal
       ,  heavy,       , double, U+2501,    ━, box drawings heavy horizontal
       ,  heavy,  light,       , U+250d,    ┍, box drawings down light and right heavy
       ,  heavy,  light,  light, U+252e,    ┮, box drawings right heavy and left down light
       ,  heavy,  light,  heavy, U+252f,    ┯, box drawings down light and horizontal heavy
       ,  heavy,  light, double, U+252c,    ┬, box drawings light down and horizontal
       ,  heavy,  heavy,       , U+250f,    ┏, box drawings heavy down and right
       ,  heavy,  heavy,  light, U+2532,    ┲, box drawings left light and right down heavy
       ,  heavy,  heavy,  heavy, U+2533,    ┳, box drawings heavy down and horizontal
       ,  heavy,  heavy, double, U+2533,    ┳, box drawings heavy down and horizontal
       ,  heavy, double,       , U+250f,    ┏, box drawings heavy down and right
       ,  heavy, double,  light, U+252c,    ┬, box drawings light down and horizontal
       ,  heavy, double,  heavy, U+2533,    ┳, box drawings heavy down and horizontal
       ,  heavy, double, double, U+2566,    ╦, box drawings double down and horizontal
       , double,       ,       , U+2550,    ═, box drawings double horizontal
       , double,       ,  light, U+2500,    ─, box drawings light horizontal
       , double,       ,  heavy, U+2501,    ━, box drawings heavy horizontal
       , double,       , double, U+2550,    ═, box drawings double horizontal
       , double,  light,       , U+2552,    ╒, box drawings down single and right double
       , double,  light,  light, U+252c,    ┬, box drawings light down and horizontal
       , double,  light,  heavy, U+252c,    ┬, box drawings light down and horizontal
       , double,  light, double, U+2564,    ╤, box drawings down single and horizontal double
       , double,  heavy,       , U+250f,    ┏, box drawings heavy down and right
       , double,  heavy,  light, U+252c,    ┬, box drawings light down and horizontal
       , double,  heavy,  heavy, U+2533,    ┳, box drawings heavy down and horizontal
       , double,  heavy, double, U+2566,    ╦, box drawings double down and horizontal
       , double, double,       , U+2554,    ╔, box drawings double down and right
       , double, double,  light, U+2566,    ╦, box drawings double down and horizontal
       , double, double,  heavy, U+2566,    ╦, box drawings double down and horizontal
       , double, double, double, U+2566,    ╦, box drawings double down and horizontal
  light,       ,       ,       , U+2575,    ╵, box drawings light up
  light,       ,       ,  light, U+2518,    ┘, box drawings light up and left
  light,       ,       ,  heavy, U+2519,    ┙, box drawings up light and left heavy
  light,       ,       , double, U+255b,    ╛, box drawings up single and left double
  light,       ,  light,       , U+2502,    │, box drawings light vertical
  light,       ,  light,  light, U+2524,    ┤, box drawings light vertical and left
  light,       ,  light,  heavy, U+2525,    ┥, box drawings vertical light and left heavy
  light,       ,  light, double, U+2561,    ╡, box drawings vertical single and left double
  light,       ,  heavy,       , U+257d,    ╽, box drawings light up and heavy down
